ano;fase;ensino.medio;n.anuario
1997;matriculado;publica;1651
1997;matriculado;particular;4428
1997;matriculado;maior parte pub;186
1997;matriculado;maior parte part;269
1997;matriculado;meia publica;54
1997;matriculado;supletivo;39
1997;matriculado;outros;189
1998;inscrito;publica;34540
1998;inscrito;particular;57764
1998;inscrito;maior parte pub;3042
1998;inscrito;maior parte part;4138
1998;inscrito;meia publica;1267
1998;inscrito;supletivo;1084
1998;inscrito;outros;3206
1998;chamado;publica;4493
1998;chamado;particular;12897
1998;chamado;maior parte pub;483
1998;chamado;maior parte part;720
1998;chamado;meia publica;142
1998;chamado;supletivo;112
1998;chamado;outros;550
1998;matriculado;publica;1794
1998;matriculado;particular;4974
1998;matriculado;maior parte pub;182
1998;matriculado;maior parte part;255
1998;matriculado;meia publica;45
1998;matriculado;supletivo;52
1998;matriculado;outros;208
1999;inscrito;publica;33519
1999;inscrito;particular;59847
1999;inscrito;maior parte pub;3178
1999;inscrito;maior parte part;3936
1999;inscrito;meia publica;1208
1999;inscrito;supletivo;980
1999;inscrito;outros;1285
1999;chamado;publica;4293
1999;chamado;particular;13301
1999;chamado;maior parte pub;482
1999;chamado;maior parte part;689
1999;chamado;meia publica;129
1999;chamado;supletivo;84
1999;chamado;outros;292
1999;matriculado;publica;1779
1999;matriculado;particular;5175
1999;matriculado;maior parte pub;192
1999;matriculado;maior parte part;280
1999;matriculado;meia publica;49
1999;matriculado;supletivo;30
1999;matriculado;outros;135
2000;inscrito;publica;41495
2000;inscrito;particular;68482
2000;inscrito;maior parte pub;3689
2000;inscrito;maior parte part;4596
2000;inscrito;meia publica;1346
2000;inscrito;supletivo;1509
2000;inscrito;outros;263
2000;chamado;publica;4898
2000;chamado;particular;14429
2000;chamado;maior parte pub;510
2000;chamado;maior parte part;725
2000;chamado;meia publica;121
2000;chamado;supletivo;102
2000;chamado;outros;55
2000;matriculado;publica;1721
2000;matriculado;particular;5235
2000;matriculado;maior parte pub;153
2000;matriculado;maior parte part;221
2000;matriculado;meia publica;44
2000;matriculado;supletivo;31
2000;matriculado;outros;25
2001;inscrito;publica;41495
2001;inscrito;particular;68482
2001;inscrito;maior parte pub;3689
2001;inscrito;maior parte part;4596
2001;inscrito;meia publica;1346
2001;inscrito;supletivo;1509
2001;inscrito;outros;263
2001;chamado;publica;4898
2001;chamado;particular;14429
2001;chamado;maior parte pub;510
2001;chamado;maior parte part;725
2001;chamado;meia publica;121
2001;chamado;supletivo;102
2001;chamado;outros;55
2001;matriculado;publica;1721
2001;matriculado;particular;5235
2001;matriculado;maior parte pub;153
2001;matriculado;maior parte part;221
2001;matriculado;meia publica;44
2001;matriculado;supletivo;31
2001;matriculado;outros;25
2002;inscrito;publica;45665
2002;inscrito;particular;64754
2002;inscrito;maior parte pub;3816
2002;inscrito;maior parte part;4263
2002;inscrito;meia publica;1252
2002;inscrito;supletivo;1487
2002;inscrito;outros;243
2002;chamado;publica;5870
2002;chamado;particular;14650
2002;chamado;maior parte pub;554
2002;chamado;maior parte part;723
2002;chamado;meia publica;138
2002;chamado;supletivo;139
2002;chamado;outros;55
2002;matriculado;publica;1950
2002;matriculado;particular;5517
2002;matriculado;maior parte pub;187
2002;matriculado;maior parte part;229
2002;matriculado;meia publica;40
2002;matriculado;supletivo;44
2002;matriculado;outros;25
2003;inscrito;publica;51664
2003;inscrito;particular;69919
2003;inscrito;maior parte pub;3976
2003;inscrito;maior parte part;4658
2003;inscrito;meia publica;1339
2003;inscrito;supletivo;1791
