ano;fase;cor;n.anuario;n.fuvest
2010;inscrito;amarela;7109;7113
2010;inscrito;parda;14426;14427
2010;inscrito;indígena;412;412
2010;inscrito;NR;0;14
2010;convocado;branca;27480;
2010;convocado;preta;978;
2010;convocado;amarela;2556;
2010;convocado;parda;4107;
2010;convocado;indígena;98;
2010;convocado;NR;0;
2010;matriculado;branca;8556;8387
2010;matriculado;preta;212;227
2010;matriculado;amarela;888;873
2010;matriculado;parda;1042;1082
2010;matriculado;indígena;24;26
2010;matriculado;NR;0;0
2011;inscrito;branca;94172;94225
2011;inscrito;preta;4523;4523
2011;inscrito;amarela;7303;7304
2011;inscrito;parda;15478;15752
2011;inscrito;indígena;380;380
2011;inscrito;NR;0;1
2011;convocado;branca;27885;
2011;convocado;preta;1097;
2011;convocado;amarela;2555;
2011;convocado;parda;4148;
2011;convocado;indígena;80;
2011;convocado;NR;0;
2011;matriculado;branca;8501;8274
2011;matriculado;preta;245;297
2011;matriculado;amarela;909;866
2011;matriculado;parda;1072;1116
2011;matriculado;indígena;25;25
2011;matriculado;NR;0;0
2012;inscrito;branca;97526;97568
2012;inscrito;preta;5216;5216
2012;inscrito;amarela;7035;7035
2012;inscrito;parda;17890;17895
2012;inscrito;indígena;387;387
2012;inscrito;NR;0;0
2012;convocado;branca;22841;
2012;convocado;preta;835;
2012;convocado;amarela;2013;
2012;convocado;parda;3443;
2012;convocado;indígena;71;
2012;convocado;NR;0;
2012;matriculado;branca;8626;8436
2012;matriculado;preta;241;283
2012;matriculado;amarela;888;817
2012;matriculado;parda;1151;1205
2012;matriculado;indígena;23;25
2012;matriculado;NR;0;0
2013;inscrito;branca;104015;104057
2013;inscrito;preta;5916;5917
2013;inscrito;amarela;6997;6998
2013;inscrito;parda;20805;20806
2013;inscrito;indígena;315;316
2013;inscrito;NR;0;0
2013;convocado;branca;22650;
2013;convocado;preta;824;
2013;convocado;amarela;1917;
2013;convocado;parda;3499;
2013;convocado;indígena;53;
2013;convocado;NR;0;
2013;matriculado;branca;8919;8635
2013;matriculado;preta;192;260
2013;matriculado;amarela;818;818
2013;matriculado;parda;1136;1242
2013;matriculado;indígena;17;20
2013;matriculado;NR;0;0
2014;inscrito;branca;93487;107864
2014;inscrito;preta;5450;6866
2014;inscrito;amarela;6511;7145
2014;inscrito;parda;21055;25342
2014;inscrito;indígena;439;416
2014;inscrito;NR;0;2
2014;convocado;branca;20533;
2014;convocado;preta;1015;
2014;convocado;amarela;1648;
2014;convocado;parda;4201;
2014;convocado;indígena;1648;
2014;convocado;NR;0;
2014;matriculado;branca;8557;8471
2014;matriculado;preta;317;361
2014;matriculado;amarela;768;736
2014;matriculado;parda;1497;1525
2014;matriculado;indígena;25;18
2014;matriculado;NR;0;0
2015;inscrito;branca;93487;93516
2015;inscrito;preta;5450;5452
2015;inscrito;amarela;6511;6511
2015;inscrito;parda;21055;21059
2015;inscrito;indígena;439;439
2015;inscrito;NR;0;1
2015;convocado;branca;20533;
2015;convocado;preta;1015;
2015;convocado;amarela;1648;
2015;convocado;parda;4201;
2015;convocado;indígena;74;
2015;convocado;NR;0;
2015;matriculado;branca;8557;8282
2015;matriculado;preta;317;391
2015;matriculado;amarela;768;733
2015;matriculado;parda;1497;1642
2015;matriculado;indígena;25;32
2015;matriculado;NR;0;0
