ano;fase;cor;inclusp;N
2012;matriculado;amarela;Inclusp;171
2012;matriculado;parda;Inclusp;593
2012;matriculado;indígena;Inclusp;7
2012;matriculado;NR;Inclusp;0
2012;matriculado;branca;Não Inclusp;6446
2012;matriculado;preta;Não Inclusp;122
2012;matriculado;amarela;Não Inclusp;646
2012;matriculado;parda;Não Inclusp;612
2012;matriculado;indígena;Não Inclusp;18
2012;matriculado;NR;Não Inclusp;0
2013;inscrito;branca;Inclusp;33441
2013;inscrito;preta;Inclusp;4190
2013;inscrito;amarela;Inclusp;1716
2013;inscrito;parda;Inclusp;13714
2013;inscrito;indígena;Inclusp;180
2013;inscrito;NR;Inclusp;0
2013;inscrito;branca;Não Inclusp;70616
2013;inscrito;preta;Não Inclusp;1727
2013;inscrito;amarela;Não Inclusp;5282
2013;inscrito;parda;Não Inclusp;7092
2013;inscrito;indígena;Não Inclusp;136
2013;inscrito;NR;Não Inclusp;0
2013;matriculado;branca;Inclusp;2036
2013;matriculado;preta;Inclusp;136
2013;matriculado;amarela;Inclusp;181
2013;matriculado;parda;Inclusp;591
2013;matriculado;indígena;Inclusp;9
2013;matriculado;NR;Inclusp;0
2013;matriculado;branca;Não Inclusp;6599
2013;matriculado;preta;Não Inclusp;124
2013;matriculado;amarela;Não Inclusp;637
2013;matriculado;parda;Não Inclusp;651
2013;matriculado;indígena;Não Inclusp;11
2013;matriculado;NR;Não Inclusp;0
2014;inscrito;branca;Inclusp;36439
2014;inscrito;preta;Inclusp;5159
2014;inscrito;amarela;Inclusp;1905
2014;inscrito;parda;Inclusp;18492
2014;inscrito;indígena;Inclusp;287
2014;inscrito;NR;Inclusp;0
2014;inscrito;branca;Não Inclusp;71425
2014;inscrito;preta;Não Inclusp;1707
2014;inscrito;amarela;Não Inclusp;5240
2014;inscrito;parda;Não Inclusp;6850
2014;inscrito;indígena;Não Inclusp;129
2014;inscrito;NR;Não Inclusp;2
2014;matriculado;branca;Inclusp;2271
2014;matriculado;preta;Inclusp;225
2014;matriculado;amarela;Inclusp;165
2014;matriculado;parda;Inclusp;812
2014;matriculado;indígena;Inclusp;8
2014;matriculado;NR;Inclusp;0
2014;matriculado;branca;Não Inclusp;6200
2014;matriculado;preta;Não Inclusp;136
2014;matriculado;amarela;Não Inclusp;571
2014;matriculado;parda;Não Inclusp;713
2014;matriculado;indígena;Não Inclusp;10
2014;matriculado;NR;Não Inclusp;0
2015;inscrito;branca;Inclusp;25099
2015;inscrito;preta;Inclusp;3350
2015;inscrito;amarela;Inclusp;1498
2015;inscrito;parda;Inclusp;11928
2015;inscrito;indígena;Inclusp;217
2015;inscrito;NR;Inclusp;0
2015;inscrito;branca;Não Inclusp;68417
2015;inscrito;preta;Não Inclusp;2102
2015;inscrito;amarela;Não Inclusp;5013
2015;inscrito;parda;Não Inclusp;9131
2015;inscrito;indígena;Não Inclusp;222
2015;inscrito;NR;Não Inclusp;1
2015;matriculado;branca;Inclusp;2431
2015;matriculado;preta;Inclusp;267
2015;matriculado;amarela;Inclusp;200
2015;matriculado;parda;Inclusp;962
2015;matriculado;indígena;Inclusp;14
2015;matriculado;NR;Inclusp;0
2015;matriculado;branca;Não Inclusp;5851
2015;matriculado;preta;Não Inclusp;124
2015;matriculado;amarela;Não Inclusp;533
2015;matriculado;parda;Não Inclusp;680
2015;matriculado;indígena;Não Inclusp;18
2015;matriculado;NR;Não Inclusp;0
2016;inscrito;branca;Inclusp;24792
2016;inscrito;preta;Inclusp;3653
2016;inscrito;amarela;Inclusp;1463
2016;inscrito;parda;Inclusp;12758
2016;inscrito;indígena;Inclusp;198
2016;inscrito;NR;Inclusp;0
2016;inscrito;branca;Não Inclusp;68469
2016;inscrito;preta;Não Inclusp;2330
2016;inscrito;amarela;Não Inclusp;4985
2016;inscrito;parda;Não Inclusp;9774
2016;inscrito;indígena;Não Inclusp;162
2016;inscrito;NR;Não Inclusp;0
2016;matriculado;branca;Inclusp;1967
2016;matriculado;preta;Inclusp;211
2016;matriculado;amarela;Inclusp;153
2016;matriculado;parda;Inclusp;785
2016;matriculado;indígena;Inclusp;11
2016;matriculado;NR;Inclusp;0
2016;matriculado;branca;Não Inclusp;5761
2016;matriculado;preta;Não Inclusp;117
2016;matriculado;amarela;Não Inclusp;539
2016;matriculado;parda;Não Inclusp;642
2016;matriculado;indígena;Não Inclusp;8
2016;matriculado;NR;Não Inclusp;0
